date,relative_dates,year_month,stars,review
4 Stunden,2023-01-31 17:04:30.429822,01/2023,5,Immer wieder gerne hier. Vorher online informieren ob das Prodult vorrätig ist und dann losfahren.
5 Stunden,2023-01-31 16:04:30.429822,01/2023,5,"Hier findet Man(n) eine große Auswahl, die es bei anderen Baumärkten so nicht mehr findet!"
2 Tagen,2023-01-29 21:04:30.429822,01/2023,5,"nette personal, grosse auswahl,"
5 Tagen,2023-01-26 21:04:30.429822,01/2023,5,"Sehr freundliche, hilfsbereite Personalien! Angemessene Preise!Gerne erst Hornbach"
5 Tagen,2023-01-26 21:04:30.429822,01/2023,5,
6 Tagen,2023-01-25 21:04:30.429822,01/2023,5,Freundlich und gewissenhaft.
6 Tagen,2023-01-25 21:04:30.429822,01/2023,5,
1 Woche,2023-01-24 21:04:30.429822,01/2023,4,Alles fürs Projekt
1 Woche,2023-01-24 21:04:30.429822,01/2023,5,Immer wieder eine Freude.
1 Woche,2023-01-24 21:04:30.429822,01/2023,4,Immer prima guter Servis
1 Woche,2023-01-24 21:04:30.429822,01/2023,5,
1 Woche,2023-01-24 21:04:30.429822,01/2023,5,"Top,jeder Mitarbeiter weiß wo was zu finden ist."
1 Woche,2023-01-24 21:04:30.429822,01/2023,5,
1 Woche,2023-01-24 21:04:30.429822,01/2023,4,
2 Wochen,2023-01-17 21:04:30.429822,01/2023,3,Kann ein bisschen mehr Liebe vertragen
2 Wochen,2023-01-17 21:04:30.429822,01/2023,5,
3 Wochen,2023-01-10 21:04:30.429822,01/2023,5,
3 Wochen,2023-01-10 21:04:30.429822,01/2023,1,"wenn ich den Kassenbon nicht gelesen hätte, wäre ich um fast 40 Euro betrogen worden! Und niemand hat mir gesagt, dass ihnen dieser Stress leid täte!"
3 Wochen,2023-01-10 21:04:30.429822,01/2023,5,Es gibt Scheibenwischer für Mercedes
3 Wochen,2023-01-10 21:04:30.429822,01/2023,5,
3 Wochen,2023-01-10 21:04:30.429822,01/2023,5,"Really big store. Perhaps you can find there everything you’re searching for and way more. I was searching for a rare item and I could only find it there. Also the employees are really kind and helpful.(Übersetzt von Google)Wirklich großer Laden. Vielleicht finden Sie dort alles, was Sie suchen, und noch viel mehr. Ich war auf der Suche nach einem seltenen Gegenstand und konnte ihn nur dort finden. Auch die Angestellten sind sehr nett und hilfsbereit."
3 Wochen,2023-01-10 21:04:30.429822,01/2023,5,
3 Wochen,2023-01-10 21:04:30.429822,01/2023,5,
3 Wochen,2023-01-10 21:04:30.429822,01/2023,5,"Schön leer zu der Zeit als wir da waren, ansonsten wie immer."
3 Wochen,2023-01-10 21:04:30.429822,01/2023,4,Standard gut
4 Wochen,2023-01-03 21:04:30.429822,01/2023,5,
4 Wochen,2023-01-03 21:04:30.429822,01/2023,5,Ich kaufe da gerne!
4 Wochen,2023-01-03 21:04:30.429822,01/2023,3,"Man muss viel laufen und suchen, ist sehr groß"
1 Monat,2023-01-01 21:04:30.429822,01/2023,4,
1 Monat,2023-01-01 21:04:30.429822,01/2023,5,
1 Monat,2023-01-01 21:04:30.429822,01/2023,5,
1 Monat,2023-01-01 21:04:30.429822,01/2023,5,Super
1 Monat,2023-01-01 21:04:30.429822,01/2023,5,
1 Monat,2023-01-01 21:04:30.429822,01/2023,4,"Sodastream-Patronen (noname)gibt es hier für 5,99€, sehr günstig!Leider gibt es (noch?) nicht die Patronen für den neuesten Sodastream, das wäre super!"
1 Monat,2023-01-01 21:04:30.429822,01/2023,4,"Gut sortierter, mit öffentlichen einigermaßen bequem zu erreichender Baumarkt. Hat alles, was man erwartet zu finden."
1 Monat,2023-01-01 21:04:30.429822,01/2023,4,Mega Große Auswahl! Personal freundlich und hilfsbereit. Leider nicht immer eine gute Profi Beratung. Man sollte schon wissen was man verkauft. Bin aber öfters hier. Preis /Leistung ist ok.
1 Monat,2023-01-01 21:04:30.429822,01/2023,5,Man bekommt dort immer alles und nettes Personal
1 Monat,2023-01-01 21:04:30.429822,01/2023,4,
1 Monat,2023-01-01 21:04:30.429822,01/2023,5,"Du findest immer, was du suchst👍🏻👍🏻👍🏻"
1 Monat,2023-01-01 21:04:30.429822,01/2023,4,Leider keine Sacklochgewindeschneider
1 Monat,2023-01-01 21:04:30.429822,01/2023,4,Markt recht übersichtlich und bei Fragen helfen die Mitarbeiter immer sehr freundlich.Manchmal sind die Schlangen an den Kassen etwas lang
1 Monat,2023-01-01 21:04:30.429822,01/2023,4,Nettes hilfsbereite Personal
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,Gut(Übersetzt von Google)Darm
1 Monat,2023-01-01 21:04:30.430823,01/2023,3,Aufgeräumt und motivierte MA
1 Monat,2023-01-01 21:04:30.430823,01/2023,4,"Baumarkt halt, gut sortiert, nicht überlaufen."
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,Toller Service
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,Best place. Recommended!(Übersetzt von Google)Bester Platz. Empfohlen!
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,Immer gut Beraten
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,
1 Monat,2023-01-01 21:04:30.430823,01/2023,3,
1 Monat,2023-01-01 21:04:30.430823,01/2023,4,"Wer zum Bauen irgendetwas sucht, hier findet man alles."
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,Tolle VERKÄUFER
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,Gut sortierte Tierabteilung
1 Monat,2023-01-01 21:04:30.430823,01/2023,4,(Übersetzt von Google) Ca(Original)Ok
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,
1 Monat,2023-01-01 21:04:30.430823,01/2023,5,Sehr freundlicher und hilfsbereiter Personal.Preise sind recht günstig.
2 Monaten,2022-12-02 21:04:30.430823,12/2022,4,"Die Apotheke unter den Baumärkten,  aber nettes Personal"
