date,relative_dates,year_month,stars,review
4 Stunden,2023-01-31 13:07:29.691694,01/2023,4,
1 Tag,2023-01-30 17:07:29.691694,01/2023,5,Man bekommt alles zu guten Preisen. Personal zuvorkommend.  Parkplätze auch genügend.  Neuerdings eine Currybude auf dem Parkplatz. Mit die beste Currywurst in Karlsruhe
1 Tag,2023-01-30 17:07:29.691694,01/2023,5,"Sehr freundliches und sehr kompetentes Personal. Wir informierten uns über Wandfliesen, deren Möglichkeiten zur Verlegung und danach ließen wir uns über den Einbau einer Dusche beraten und wurden an beiden Stellen perfekt und fachkundig beraten.👍👍👍"
3 Tagen,2023-01-28 17:07:29.691694,01/2023,5,Riesen großer Baumarkt gut sortiert mit Tankstelle.
3 Tagen,2023-01-28 17:07:29.691694,01/2023,4,wir sind seit Jahren Kunden mit Profikarte und bekommen keine Ermäßigung wie bei der Konkurrenz irgendwie schade....da sollte sich die Marktleitung was einfallen lassen ...es ist unser Baumarkt des Vertrauens. .bekommen immer was wir benötigen. .die Beratung vom Personal ist sehr gut ..Können wir mit gutem Gewissen weiter empfehlen. .weiter so 👍
4 Tagen,2023-01-27 17:07:29.691694,01/2023,5,
4 Tagen,2023-01-27 17:07:29.691694,01/2023,5,
5 Tagen,2023-01-26 17:07:29.691694,01/2023,5,
5 Tagen,2023-01-26 17:07:29.691694,01/2023,5,
6 Tagen,2023-01-25 17:07:29.691694,01/2023,5,
6 Tagen,2023-01-25 17:07:29.691694,01/2023,5,
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,Hab alles gefunden auch ohne Hilfe
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,Eben Hornbach's Nummer 1 wenn da nichts geht wo sonst
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,"Mein Lieblingsbaumarkt , immer alles gut gelaufen."
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,
1 Woche,2023-01-24 17:07:29.691694,01/2023,4,
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,Hier wohnt Leidenschaft für DIY 🤩🛠
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,Hornbach eben
1 Woche,2023-01-24 17:07:29.691694,01/2023,5,"Bestellt online und zum Termin abgeholt. 5 Min. Wartezeit, super!"
2 Wochen,2023-01-17 17:07:29.691694,01/2023,5,"Riesen Auswahl, top Service (bei den Elektrogeräten, Schleifern etc. wurde ich immer top beraten). Äußerst kulant in Reklamationsfällen.Zuschnitte passen immer."
2 Wochen,2023-01-17 17:07:29.691694,01/2023,5,
2 Wochen,2023-01-17 17:07:29.691694,01/2023,5,Großes Sortiment
2 Wochen,2023-01-17 17:07:29.691694,01/2023,3,
2 Wochen,2023-01-17 17:07:29.691694,01/2023,2,"Riesen großer Markt, abgelegen, extra würde ich da nicht hinfahren."
2 Wochen,2023-01-17 17:07:29.691694,01/2023,5,(Übersetzt von Google) Gut willkommen(Original)Bon accueil
2 Wochen,2023-01-17 17:07:29.691694,01/2023,5,Definitiv der günstigste Baumarkt.
2 Wochen,2023-01-17 17:07:29.691694,01/2023,5,Ich hatte eine Twinkly Leuchte über den Kundenservice reklamiert. Die Leuchte war kein Jahr alt. Hornbach hat mir ohne wenn und aber eine kostenlose Ersatzbestellung zugeschickt. Innerhalb von drei Tagen war die neue Leuchte da. Vielen Dank für den super Service.👍🏻
2 Wochen,2023-01-17 17:07:29.691694,01/2023,2,Naja......
