date,relative_dates,year_month,stars,review
10 Stunden,2023-01-31 11:52:58.218241,01/2023,4,Bisher gute Erfahrungen gemacht.  Hier wird man auch beraten.
13 Stunden,2023-01-31 08:52:58.218241,01/2023,5,
1 Tag,2023-01-30 21:52:58.218241,01/2023,5,
1 Tag,2023-01-30 21:52:58.218241,01/2023,5,"Es gibt alles was man braucht, die Preise sind akzeptabel, aber nicht in allen Abteilungen"
1 Tag,2023-01-30 21:52:58.218241,01/2023,3,
3 Tagen,2023-01-28 21:52:58.218241,01/2023,4,
3 Tagen,2023-01-28 21:52:58.218241,01/2023,5,"Ein gut sortierter Hornbach, tausend Mal besser als jeder Toom"
4 Tagen,2023-01-27 21:52:58.218241,01/2023,1,"Sehr Schlechter Service an der Info.Plus Verweigerung der Warenausgabe nur weil 10 Minuten vor Ladenschluss ist.Sehr Traurig und eine Beschwerde folgt auch noch bezüglich des Mitarbeiters!Leider kann man keine Rezession ohne sterne schreiben, die sind hier nämlich nicht angebracht!"
4 Tagen,2023-01-27 21:52:58.218241,01/2023,5,Man findet fast alles was man braucht Angestellte sehr freundlich und hilfsbereit
5 Tagen,2023-01-26 21:52:58.218241,01/2023,4,
5 Tagen,2023-01-26 21:52:58.218241,01/2023,4,Alles bekommen was wir wollten.Nette Beratung.
6 Tagen,2023-01-25 21:52:58.218241,01/2023,5,
1 Woche,2023-01-24 21:52:58.218241,01/2023,4,Service könnte besser sein.
1 Woche,2023-01-24 21:52:58.218241,01/2023,5,Freundlich und gut sortiert. Der Holzzuschnitt klappt in dieser Filiale sehr gut. Es sind fast immer genügend Kassen geöffnet.
1 Woche,2023-01-24 21:52:58.218241,01/2023,5,Ein Baumarkt mit netten Mitarbeitern.
1 Woche,2023-01-24 21:52:58.218241,01/2023,3,
1 Woche,2023-01-24 21:52:58.218241,01/2023,4,Übersichtlicher Markt mit stets guten gelaunten Mitarbeitern. Hier kaufe ich gerne ein.
1 Woche,2023-01-24 21:52:58.218241,01/2023,3,"Man kann hier einiges entdecken und der Preis ist für mich so das ich Suche, finde, vergleiche, oft eine gute günstige Lösung finde."
2 Wochen,2023-01-17 21:52:58.218241,01/2023,4,
2 Wochen,2023-01-17 21:52:58.218241,01/2023,4,
2 Wochen,2023-01-17 21:52:58.218241,01/2023,5,
2 Wochen,2023-01-17 21:52:58.218241,01/2023,5,Gut sortiert und guter Service
2 Wochen,2023-01-17 21:52:58.218241,01/2023,5,Beste Männer-Boutique  in der Umgebung...!!!
2 Wochen,2023-01-17 21:52:58.218241,01/2023,4,
2 Wochen,2023-01-17 21:52:58.218241,01/2023,4,"Gutes Sortiment, aber teils unfreundliche Mitarbeiter."
2 Wochen,2023-01-17 21:52:58.218241,01/2023,5,
2 Wochen,2023-01-17 21:52:58.218241,01/2023,4,
3 Wochen,2023-01-10 21:52:58.218241,01/2023,4,
3 Wochen,2023-01-10 21:52:58.218241,01/2023,5,Super Baumarkt vor allem in Bereich Heimwerker und  preislich unschlagbar im Bereich Elektro
3 Wochen,2023-01-10 21:52:58.218241,01/2023,5,
3 Wochen,2023-01-10 21:52:58.218241,01/2023,5,
3 Wochen,2023-01-10 21:52:58.218241,01/2023,5,
4 Wochen,2023-01-03 21:52:58.218241,01/2023,5,Der Markt ist sehr gut sortiert und das Personal sehr freundlich.
4 Wochen,2023-01-03 21:52:58.218241,01/2023,3,Hier bekomme ich immer das was ich brauche zu einem fairen Preis
1 Monat,2023-01-01 21:52:58.218241,01/2023,5,
1 Monat,2023-01-01 21:52:58.218241,01/2023,4,
1 Monat,2023-01-01 21:52:58.218241,01/2023,5,"Wunderbar, ich überlege mir, hier zu wohnen."
1 Monat,2023-01-01 21:52:58.218241,01/2023,5,Gerne wieder.
