date,relative_dates,year_month,stars,review
1 Tag,2023-01-30 22:11:42.291077,01/2023,5,
3 Tagen,2023-01-28 22:11:42.291077,01/2023,1,"Bin ja einiges gewöhnt in Baumärkten. Nach langem Suchen fand ich eine zuständige Mitarbeiterin. Fragte Sie: Wo sind die Gegensprechanlagen? Sie: Gang 3. Hab ich nicht gefunden, also nochmals hin. Ich suche eine 2Draht Anlage.Wo? Die Mitarbeiterin sah mich achselzuckend an und drehte mir den Rücken zu und zupften an Ihrem Besen rum. Das grenzt an Arbeitsverweigerung."
3 Tagen,2023-01-28 22:11:42.291077,01/2023,4,
3 Tagen,2023-01-28 22:11:42.291077,01/2023,5,Super Verkäufer gute Beratung jedem zu empfehlen 👍
4 Tagen,2023-01-27 22:11:42.291077,01/2023,3,(Übersetzt von Google) Ein gewöhnliches Baumateriallager ... Und nicht nur ... Ein russischsprachiger Karschik arbeitet beim Entladen ...(Original)Обычный магазин строительных материалов... И не только... На выгрузке работает русскоязычный карщик...
5 Tagen,2023-01-26 22:11:42.291077,01/2023,4,
5 Tagen,2023-01-26 22:11:42.291077,01/2023,5,
6 Tagen,2023-01-25 22:11:42.291077,01/2023,4,
1 Woche,2023-01-24 22:11:42.291077,01/2023,5,Alles Super
2 Wochen,2023-01-17 22:11:42.291077,01/2023,4,Dort gibt es alles.
2 Wochen,2023-01-17 22:11:42.291077,01/2023,1,
3 Wochen,2023-01-10 22:11:42.291077,01/2023,5,
3 Wochen,2023-01-10 22:11:42.291077,01/2023,5,
3 Wochen,2023-01-10 22:11:42.291077,01/2023,5,Großes Sortiment und ausreichend Parkmöglichkeiten.
4 Wochen,2023-01-03 22:11:42.291077,01/2023,5,Alles ok Gute Bedienung
1 Monat,2023-01-01 22:11:42.291077,01/2023,1,
1 Monat,2023-01-01 22:11:42.291077,01/2023,4,
1 Monat,2023-01-01 22:11:42.291077,01/2023,4,
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,
1 Monat,2023-01-01 22:11:42.291077,01/2023,4,
1 Monat,2023-01-01 22:11:42.291077,01/2023,4,
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,Immer wieder gerne! Vielen Dank.
1 Monat,2023-01-01 22:11:42.291077,01/2023,1,"Wenig Personal, mit Glück findest du irgendjemand. Eine Ahnung von dem was verkauft wird hat der/ die betreffende nie!Aktuell, weiterhin kein Personal, keine Ahnung, keine Lust!Warum zwei Sterne, im Laden ist es wenigstens schön kühl"
1 Monat,2023-01-01 22:11:42.291077,01/2023,3,Eigendlich ganz gut. Nur etwas gruschtig geworden .Aber es ist alles da was man sucht.
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,Sehr freundliches und sehr kompetentes Personal
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,Sehr freuundlich
1 Monat,2023-01-01 22:11:42.291077,01/2023,1,"Sehr unfreundliches Personal, zeigte Keinerlei Interesse etwas zu verkaufen"
1 Monat,2023-01-01 22:11:42.291077,01/2023,2,Der Service lässt zu wünschen übrig sonst ist alles oke
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,
1 Monat,2023-01-01 22:11:42.291077,01/2023,4,
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,"Online Fliesen bestellt, mit Spedition geliefert.Leider waren in einem Paket die Fliesen, gebrochen.Ich habe umgehend eine Ersatzlieferung bekommen.Kundenservice TOP"
1 Monat,2023-01-01 22:11:42.291077,01/2023,1,"Kronisch unterbesetzt und der Rest ist eh immer krank. Ergebnis: habe für das Richten der Kette meiner Kettensäge bezahlt und über eine Woche darauf gewartet, eine Kette zurück zu bekommen, die zu nichts zu gebrauchen ist. Pluspunkt: kostet zumindest nur 5€"
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,
1 Monat,2023-01-01 22:11:42.291077,01/2023,4,guter Baumarkt gutes Sortiment
1 Monat,2023-01-01 22:11:42.291077,01/2023,2,"Was soll ich sagen... man geht halt hin weil der Markt in der Nähe ist. Letzte Woche Samstag in der Elektroabteilung. Ein Kunde fand eine bestimmte Birne nicht. Auf Nachfrage, sie sei im Moment nicht da. Die Frage des Kunden warum.Dann kam doch glatt die Antwort: Weil in China Reis in Säcken gestapelt wird.Mir fällt echt nichts mehr zu dem Laden ein"
1 Monat,2023-01-01 22:11:42.291077,01/2023,4,
1 Monat,2023-01-01 22:11:42.291077,01/2023,5,(Übersetzt von Google) Alles super(Original)Alles top
1 Monat,2023-01-01 22:11:42.291077,01/2023,3,
1 Monat,2023-01-01 22:11:42.291077,01/2023,4,"Sehr gutes Sortiment, moderate Preise, jedoch tw. schlechte Preisauszeichnung  im Bereich Wasserpflege. Hier auch gewisses Durcheinander der Produkte..."
